Wellbore;Purpose;Water depth (m);TVD (m);MD (m);Entered date;Completed date
15/9-19 A;Appraisal;85;3239;4044;25.07.1997;09.11.1997
15/9-19 B;Appraisal;85;2512;3272;09.11.1997;05.12.1997
15/9-19 BT2;Appraisal;85;3361;4250;05.12.1997;03.02.1998
15/9-19 S;Wildcat;84;2253;3353;18.11.1992;19.12.1992
15/9-19 ST2;Wildcat;84;3135;4643;19.12.1992;29.04.1992
15/9-F-1;Observation;91;3330;3632;21.07.2013;23.08.2013
15/9-F-1 A;Observation;91;3240;3682;23.08.2013;29.08.2013
15/9-F-1 B;Injection;91;3260;3464;29.08.2013;09.09.2013
15/9-F-1 C;Production;91;3178;4087;21.02.2014;18.03.2014
15/9-F-4;Injection;91;3137;3508;09.06.2007;28.02.2008
15/9-F-5;Injection;91;3245;3790;15.11.2007;30.07.2008
15/9-F-7;Production;91;1057;1062;14.09.2007;11.10.2007
15/9-F-9;Production;91;1057;1064;28.11.2007;06.09.2008
15/9-F-9 A;Production;91;1010;1201;01.07.2009;09.07.2009
15/9-F-10;Observation;91;3017;5331;06.04.2009;16.06.2009
15/9-F-11;Observation;91;3400;4562;08.03.2013;24.03.2013
15/9-F-11 A;Observation;91;3127;3762;14.05.2013;28.05.2013
15/9-F-11 B;Production;91;3256;4768;28.05.2013;16.06.2013
15/9-F-11 T2;Observation;91;3400;4562;24.03.2013;15.05.2013
15/9-F-12;Production;91;3108;3519;14.06.2007;27.08.2007
15/9-F-14;Production;91;3123;3695;05.11.2007;15.06.2008
15/9-F-15;Observation;91;3170;4090;19.11.2007;30.11.2008
15/9-F-15 A;Observation;91;3212;4095;11.12.2008;13.01.2009
15/9-F-15 B;Observation;91;3017;3497;13.01.2009;18.01.2009
15/9-F-15 C;Production;91;3043;3231;18.01.2009;14.02.2009
15/9-F-15 D;Production;91;3212;4684;10.11.2013;08.12.2013
